,game_id
3,730
10,252950
11,782330
13,252490
16,10
51,578080
80,294100
86,238960
88,220
95,413150
96,359320
98,582660
112,240
155,4000
172,271590
178,230410
202,787860
211,1248130
213,221100
217,20
241,433850
255,500
269,72850
273,227940
296,1599340
304,49520
358,212500
408,594570
439,1005300
454,8930
462,20900
475,383980
480,377160
491,383120
494,4700
497,10190
499,1997040
500,286160
515,427520
516,388080
517,17300
522,281990
526,431730
532,39210
544,306130
550,1086940
578,203770
591,216150
620,251570
633,1454400
680,1476970
681,359550
690,12200
710,236850
717,202990
721,550
727,386360
758,204300
771,107410
773,42690
800,582010
801,244210
803,10090
820,214950
829,245170
834,381210
848,394360
868,594650
869,250900
874,1263850
880,236390
919,402840
939,48700
941,1172470
967,431960
968,346110
984,489830
1013,105600
1015,454650
1043,689790
1058,10180
1066,611500
1151,3320
1223,227300
1262,1046930
1274,620
1281,550650
1297,289070
1302,295110
1353,244450
1392,24200
1403,1172620
1420,1100600
1473,322170
1489,22380
1504,990080
1543,905370
1608,761890
1614,386180
1634,282660
1663,72200
1726,2700
1738,8190
2055,976730
2057,627690
2066,211820
2071,227320
2132,22330
2133,312530
2143,444090
2199,203290
2229,362930
2236,1085660
2275,282440
2293,1353300
2307,211420
2315,1250
2340,231430
2346,1468810
2367,372000
2370,219740
2391,374320
2395,13520
2408,438100
2410,2320
2455,12210
2489,304050
2494,45760
2497,1258080
2499,548430
2539,677620
2564,17480
2591,453480
2615,1938090
2619,960090
2663,291550
2684,1151340
2693,1343400
2704,1240440
2785,3830
2814,16100
2815,35130
2896,285820
2912,466170
2965,1267910
3048,841370
3062,3330
3102,232090
3104,1701380
3105,24960
3153,50
3159,215280
3217,300
3235,218620
3246,346900
3249,34830
3267,1384160
3279,1097150
3287,34900
3382,3920
3393,363970
3480,32430
3482,574050
3505,218230
3570,435150
3691,70
3714,1449850
3725,2064650
3744,552500
3866,637090
3905,41000
3962,320
3965,1364780
3968,230700
4057,2760
4065,378120
4096,632360
4099,1366800
4178,310950
4208,71340
4250,1877960
4333,30
4375,899770
4555,65800
4646,1446780
4651,8500
4658,1158310
4670,33930
4686,1900
4738,214850
4840,1904540
4864,261550
4955,2252570
4972,1063730
5048,3590
5072,6910
5100,91200
5252,393380
5424,1818750
5426,570940
5464,244850
5472,389730
5489,113400
5580,242760
5615,502520
5622,284160
5652,1557740
5742,1222670
6272,12120
6294,1957330
6336,56400
6364,99900
6369,273110
6379,629520
6380,892970
6458,813780
6554,304930
6558,2630
6608,252330
6630,872790
6639,1174180
6651,15100
6660,80
6665,275850
6674,11020
6834,403640
6856,3480
6965,678950
6972,429050
7317,226320
7328,629760
7421,200210
7487,42710
7491,453090
7552,366220
7560,255710
7590,254000
7606,280
7608,438040
7660,513710
7722,2369390
7775,6880
7787,60
7871,291480
8000,755790
8041,646570
8062,1142710
8112,108600
8118,268500
