Unnamed: 0,key,read_or_not
0,76561197960269909,1
1,76561197960270577,1
2,76561197960272861,1
3,76561197960272949,1
4,76561197960275607,1
5,76561197960280440,1
6,76561197960280876,1
7,76561197960283131,1
8,76561197960286225,1
9,76561197960288216,1
10,76561197960290472,1
11,76561197960296208,1
12,76561197960310011,1
13,76561197960311652,1
14,76561197960312502,1
15,76561197960315957,1
16,76561197960321844,1
17,76561197960321926,1
18,76561197960329729,1
19,76561197960331066,1
20,76561197960331205,1
21,76561197960331712,1
22,76561197960337084,1
23,76561197960337842,1
24,76561197960338139,1
25,76561197960338848,1
26,76561197960340978,1
27,76561197960350777,1
28,76561197960356421,1
29,76561197960360743,1
30,76561197960365187,1
31,76561197960367303,1
32,76561197960377746,1
33,76561197960393082,1
34,76561197960401751,1
35,76561197960402765,1
36,76561197960416386,1
37,76561197960433122,1
38,76561197960458252,1
39,76561197960458885,1
40,76561197960472072,1
41,76561197960506691,1
42,76561197960520942,1
43,76561197960522351,1
44,76561197960571202,1
45,76561197960638405,1
46,76561197960668435,1
47,76561197960682366,1
48,76561197960693008,1
49,76561197960694608,1
50,76561197960695556,1
51,76561197960708183,1
52,76561197960710855,1
53,76561197960743404,1
54,76561197960784138,1
55,76561197960790466,1
56,76561197960790857,1
57,76561197960797036,1
58,76561197960822198,1
59,76561197960945147,1
60,76561197960945507,1
61,76561197960947072,1
62,76561197960947674,1
63,76561197960962730,1
64,76561197960968380,1
65,76561197960975674,1
66,76561197960989645,1
67,76561197961034888,1
68,76561197961040269,1
69,76561197961051793,1
70,76561197961095533,1
71,76561197961107262,1
72,76561197961108628,1
73,76561197961109325,1
74,76561197961114584,1
75,76561197961127240,1
76,76561197961129561,1
77,76561197961152333,1
78,76561197961194620,1
79,76561197961221546,1
80,76561197961223502,1
81,76561197961225836,1
82,76561197961236590,1
83,76561197961243787,1
84,76561197961254806,1
85,76561197961261824,1
86,76561197961266104,1
87,76561197961302889,1
88,76561197961320772,1
89,76561197961334596,1
90,76561197961368323,1
91,76561197961384943,1
92,76561197961406157,1
93,76561197961418159,1
94,76561197961433182,1
95,76561197961439064,1
96,76561197961441914,1
97,76561197961442583,1
98,76561197961457856,1
99,76561197961459646,1
100,76561197961534971,1
101,76561197961537774,1
102,76561197961599244,1
103,76561197961628243,1
104,76561197961717677,1
105,76561197961735560,1
106,76561197961738320,1
107,76561197961763493,1
108,76561197961797607,1
109,76561197961824844,1
110,76561197961827398,1
111,76561197961829424,1
112,76561197961874103,1
113,76561197961881011,1
114,76561197961905746,1
115,76561197961919900,1
116,76561197961928715,1
117,76561197961978517,1
118,76561197961996332,1
119,76561197962022761,1
120,76561197962076372,1
121,76561197962209681,1
122,76561197962241662,1
123,76561197962364511,1
124,76561197962376114,1
125,76561197962377483,1
126,76561197962382538,1
127,76561197962393487,1
128,76561197962478671,1
129,76561197962511292,1
130,76561197962572256,1
131,76561197962597255,1
132,76561197962635397,1
133,76561197962686021,1
134,76561197962697032,1
135,76561197962713628,1
136,76561197962797010,1
137,76561197962839863,1
138,76561197962901119,1
139,76561197962913283,1
140,76561197962974666,1
141,76561197963007870,1
142,76561197963023650,1
143,76561197963039568,1
144,76561197963067276,1
145,76561197963117534,1
146,76561197963119383,1
147,76561197963157251,1
