column1,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date,hours_per_dollar
8934,DeadIslandRiptideDefinitiveEdition,3,37,6,105,0,58.96609115600586,1.5936781167984009,6,19,['Action'],['Techland'],['DeepSilver'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'Captionsavailable', 'SteamCloud', 'Stats', 'FamilySharing']","May31,2016",3.1666666666666665
20067,SNOW,4,236.75,5.5,936,0,466.19549560546875,1.9691468477249146,0,14,"['Casual', 'Indie', 'Simulation', 'Sports']","['PoppermostProductions', 'WastedStudios', 'Crytek']",['Crytek'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'VRSupport', 'SteamCloud', 'SteamLeaderboards', 'FamilySharing']","Nov11,2020",2.5454545454545454
13207,Half-Life,17,936.8235473632812,4,6540,0,1969.93310546875,2.1027791500091553,0,9,['Action'],['Valve'],['Valve'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Fullcontrollersupport', 'SteamCloud', 'ValveAnti-Cheatenabled', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","Nov8,1998",2.25
8191,CrashBandicoot™N.SaneTrilogy,3,1058.3333740234375,32,3143,0,1805.4451904296875,1.7059324979782104,0,41,['Action'],"['VicariousVisions', 'IronGalaxy']",['Activision'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","29Jun,2018",1.28125
2629,CallofDuty2,10,3493.199951171875,30.5,32654,0,10259.171875,2.9368979930877686,0,19,['Action'],['InfinityWard'],['Activision'],"['Single-player', 'Multi-player', 'FamilySharing']","Oct13,2006",0.6229508196721312
15471,NeedforSpeed™Payback,4,502.25,66.5,1876,0,917.928955078125,1.8276336193084717,0,29,"['Action', 'Adventure', 'Racing', 'Sports', 'Strategy']",['GhostGames'],['ElectronicArts'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements']","Jun18,2020",0.43609022556390975
23475,UNO,7,329.5714416503906,24,972,0,455.47479248046875,1.382021427154541,24,9,['Casual'],['UbisoftEntertainment'],['UbisoftEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Fullcontrollersupport', 'SteamTradingCards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jan3,2017",0.375
3284,CallofDuty®:ModernWarfare®3(2011),8,329.75,138,1206,0,435.79345703125,1.3215874433517456,0,39,['Action'],"['InfinityWard', 'SledgehammerGames']",['Activision'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'SteamCloud', 'ValveAnti-Cheatenabled', 'FamilySharing']","Nov8,2011",0.2826086956521739
2877,CallofDuty:ModernWarfare2(2009),14,3052.357177734375,87.5,27722,0,7455.775390625,2.442628860473633,0,19,['Action'],['InfinityWard'],['Activision'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'SteamCloud', 'ValveAnti-Cheatenabled', 'FamilySharing']","Nov11,2009",0.21714285714285714
13679,HumanFallFlat,4,299,161,874,0,412.29278564453125,1.3789056539535522,0,19,"['Adventure', 'Casual', 'Indie', 'Simulation']",['NoBrakesGames'],['CurveGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Stats', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jul22,2016",0.11801242236024845
20245,SeriousSamHD:TheFirstEncounter,3,7178.33349609375,140,21395,0,12312.193359375,1.7151882648468018,0,14,"['Action', 'Indie']",['Croteam'],['DevolverDigital'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayTogether', 'FamilySharing']","Nov24,2009",0.1
24765,WormsW.M.D,4,384,258.5,1019,0,456.2608947753906,1.18817937374115,0,24,"['Action', 'Strategy']",['Team17'],['Team17'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","23Aug,2016",0.09284332688588008
22400,TheOutlastTrials,5,2753.800048828125,462,12516,0,5467.4560546875,1.9854223728179932,0,39,"['Action', 'Adventure', 'Indie']",['RedBarrels'],['RedBarrels'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'FamilySharing']","Mar5,2024",0.08441558441558442
20659,SonsOfTheForest,13,4091.615478515625,435,27312,0,7799.69580078125,1.9062632322311401,0,29,"['Action', 'Adventure', 'Indie', 'Simulation']",['EndnightGamesLtd'],['Newnight'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'FamilySharing']","Feb22,2024",0.06666666666666667
