loccountrycode,average_game_count,loccountrycode_count
BR,751,13
IE,610,11
AU,387,217
US,367,575
CA,363,78
VN,360,7
NZ,345,25
GB,290,238
TR,275,24
NL,243,102
BE,237,24
CZ,230,16
SO,230,6
ES,214,21
VA,214,14
DE,211,153
DK,208,85
NO,208,66
PL,195,51
SE,188,298
JP,188,57
HR,187,7
AQ,185,12
Unknown,180,1316
HM,180,8
FR,173,37
CH,170,10
RS,164,28
IT,163,74
PT,159,26
FJ,154,7
KR,142,11
FI,141,722
TH,139,120
PH,125,12
RO,124,20
IL,124,11
LT,124,10
IS,121,15
MX,117,8
IN,115,7
JM,109,6
CN,106,47
CG,104,9
RU,102,116
UA,100,27
EE,96,25
FO,95,12
HU,94,8
SG,86,19
NE,83,17
HK,82,7
AL,82,6
IM,80,6
KZ,76,6
MY,72,16
SK,67,9
CC,56,7
CX,46,9
