loccountrycode,count
total,20441
Unknown,8416
FI,1889
US,1759
SE,1202
AU,1042
GB,634
DE,558
TH,513
RU,356
CA,283
NL,282
DK,229
NO,214
IT,174
FR,151
JP,142
PL,132
CN,109
MY,105
NZ,92
UA,79
PT,75
BE,72
RS,66
SG,62
ES,61
TR,56
PH,52
RO,49
EE,48
NE,44
KR,43
FO,43
BR,37
CH,36
IE,36
IS,35
VA,34
CZ,34
ZW,32
AQ,31
HK,29
AF,29
CX,29
HR,29
SK,28
IN,26
JM,25
IL,24
AT,23
KZ,23
SO,22
ID,22
LT,20
HM,17
MX,17
CC,17
FJ,16
GR,16
VN,16
CG,15
TW,15
ZA,14
AR,14
BY,14
UM,13
IM,12
BG,12
GS,12
TD,12
IQ,12
AE,12
LV,12
AL,11
MN,11
BA,11
CD,11
HU,10
CO,10
VI,10
SI,9
PK,9
LB,9
UG,9
UZ,9
CK,9
LU,9
MK,8
IR,8
NG,8
KP,7
WF,7
PS,7
AM,7
KG,7
DZ,6
QA,6
DJ,6
MA,6
MC,6
ME,6
TJ,6
CL,6
CU,6
SH,5
CI,5
PA,5
CW,5
TT,5
SA,5
SZ,5
SB,5
BS,5
AZ,5
GE,5
VG,4
TN,4
AD,4
NP,4
CY,4
JO,4
SY,4
TG,4
AG,4
NR,4
SC,4
GH,4
NF,4
MD,4
EH,4
AX,4
EG,4
MT,4
KH,4
MO,3
DO,3
XK,3
SD,3
FK,3
KI,3
TM,3
LA,3
BH,3
EC,3
OM,3
MM,3
GW,3
PG,3
ZM,3
BB,3
VC,3
BD,3
AS,3
FX,3
AW,3
PM,2
LR,2
MS,2
FM,2
TK,2
BT,2
LY,2
BN,2
RW,2
MG,2
LK,2
GA,2
BW,2
LI,2
RE,2
GL,2
CR,2
IO,2
PE,2
PY,2
BI,2
UY,2
CF,2
KE,2
HN,2
ST,2
PR,2
MH,1
KW,1
YU,1
BO,1
TC,1
GQ,1
TV,1
MZ,1
YT,1
VE,1
TO,1
SX,1
GY,1
NU,1
SM,1
LC,1
BV,1
GF,1
BM,1
SS,1
GT,1
TL,1
PN,1
KM,1
GU,1
CM,1
KY,1
SR,1
AO,1
AI,1
ET,1
BQ,1
NI,1
YE,1
GP,1
KN,1
SL,1
NC,1
GM,1
