,name_game_2weeks,playtime_2weeks_game_count,playtime_2weeks_game_max,playtime_2weeks_game_median,playtime_2weeks_game_mean,playtime_2weeks_game_min,appid_game_2weeks,playtime_2weeks_game,playtime_forever_game_2weeks,steam_appid_2weeks_game_,price_overview_2weeks_game_,genres_2weeks_game_,developers_2weeks_game_,publishers_2weeks_game_,categories_2weeks_game_,release_date_2weeks_game_,metacritic_2weeks_game_
0,Counter-Strike2,1159,18843,418.0,817.9499568593615,1,730,1189,371092,730,0,"['Action', 'FreetoPlay']",['Valve'],['Valve'],"['Multi-player', 'Cross-PlatformMultiplayer', 'SteamTradingCards', 'SteamWorkshop', 'In-AppPurchases', 'ValveAnti-Cheatenabled', 'Stats', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV']","Aug21,2012",No score
1,Dota2,258,8286,1051.5,1354.9418604651162,1,570,2372,567826,570,0,"['Action', 'Strategy', 'FreetoPlay']",['Valve'],['Valve'],"['Multi-player', 'Co-op', 'SteamTradingCards', 'SteamWorkshop', 'SteamVRCollectibles', 'In-AppPurchases', 'ValveAnti-Cheatenabled']","Jul9,2013",90
2,PUBG:BATTLEGROUNDS,221,12370,268.0,674.4117647058823,2,578080,509,26381,578080,0,"['Action', 'Adventure', 'MassivelyMultiplayer', 'FreetoPlay']","['KRAFTON,Inc.']","['KRAFTON,Inc.']","['Multi-player', 'PvP', 'OnlinePvP', 'Stats', 'RemotePlayonPhone', 'RemotePlayonTablet']","Dec21,2017",No score
3,HELLDIVERS™2,202,8465,325.5,615.0346534653465,1,553850,1044,16289,553850,32,['Action'],['ArrowheadGameStudios'],['PlayStationPCLLC'],"['Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'PartialControllerSupport', 'FamilySharing']","8Feb,2024",No score
4,ApexLegends,164,6239,492.5,804.969512195122,4,1172470,2159,53061,1172470,0,"['Action', 'Adventure', 'FreetoPlay']",['Respawn'],['ElectronicArts'],"['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases']","Nov4,2020",88
5,RocketLeague,148,4136,343.5,528.831081081081,1,252950,630,49956,252950,0,"['Action', 'Indie', 'Racing', 'Sports']",['PsyonixLLC'],['PsyonixLLC'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'Stats', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jul6,2015",86
6,HadesII,135,5998,881.0,1050.8,1,1145350,1554,1650,1145350,27,"['Action', 'Indie', 'RPG', 'EarlyAccess']",['SupergiantGames'],['SupergiantGames'],"['Single-player', 'Fullcontrollersupport', 'Captionsavailable', 'SteamCloud', 'FamilySharing']","6May,2024",No score
7,VRising,111,8354,1114.0,1617.3423423423424,1,1604030,5507,33710,1604030,32,"['Action', 'Adventure', 'MassivelyMultiplayer']",['StunlockStudios'],['StunlockStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'PartialControllerSupport', 'SteamCloud', 'FamilySharing']","8May,2024",No score
8,WallpaperEngine,103,2701,7.0,147.5728155339806,1,431960,2,374,431960,2,"['Casual', 'Indie', 'Animation&Modeling', 'Design&Illustration', 'PhotoEditing', 'Utilities']",['WallpaperEngineTeam'],['WallpaperEngineTeam'],"['SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamWorkshop', 'Includesleveleditor']",Nov2018,No score
9,Fallout4,100,6293,452.0,840.43,1,377160,1363,12013,377160,19,['RPG'],['BethesdaGameStudios'],['BethesdaSoftworks'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Nov9,2015",84
10,Rust,92,13647,1004.0,1697.641304347826,1,252490,7317,115494,252490,39,"['Action', 'Adventure', 'Indie', 'MassivelyMultiplayer', 'RPG']",['FacepunchStudios'],['FacepunchStudios'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'In-AppPurchases', 'ValveAnti-Cheatenabled', 'Stats', 'RemotePlayonTablet']","Feb8,2018",69
11,SourceSDKBase2007,89,11729,1112.0,2368.325842696629,1,218,2437,9137,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
12,TomClancy'sRainbowSixSiege,82,3436,472.5,748.0,1,359550,1901,19185,359550,19,['Action'],['UbisoftMontreal'],['Ubisoft'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'RemotePlayonPhone', 'RemotePlayonTablet']","Dec1,2015",No score
13,Baldur'sGate3,79,4859,434.0,705.3037974683544,1,1086940,472,4669,1086940,48,"['Adventure', 'RPG', 'Strategy']",['LarianStudios'],['LarianStudios'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","3Aug,2023",96
14,CallofDuty®,75,6794,485.0,830.1066666666667,1,1938090,1241,59663,1938090,0,['Action'],"['SledgehammerGames', 'Treyarch', 'InfinityWard', 'Beenox', 'RavenSoftware', 'HighMoonStudios', 'Demonware']",['Activision'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'Captionsavailable', 'In-AppPurchases']","27Oct,2022",No score
15,Valheim,74,3279,586.0,855.0,1,892970,592,592,892970,9,"['Action', 'Adventure', 'Indie', 'RPG', 'EarlyAccess']",['IronGateAB'],['CoffeeStainPublishing'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonTablet', 'FamilySharing']","Feb2,2021",No score
16,DeadbyDaylight,70,5245,617.5,1022.7428571428571,1,381210,852,37254,381210,19,['Action'],['BehaviourInteractiveInc.'],['BehaviourInteractiveInc.'],"['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Jun14,2016",No score
17,GhostofTsushimaDIRECTOR'SCUT,68,2896,710.5,899.7794117647059,15,2215430,830,830,2215430,45,"['Action', 'Adventure']","['SuckerPunchProductions', 'NixxesSoftware']",['PlayStationPCLLC'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'FamilySharing']","16May,2024",No score
18,WarThunder,67,6105,463.0,1026.6716417910447,8,236390,344,25449,236390,0,"['Action', 'MassivelyMultiplayer', 'Simulation', 'FreetoPlay']",['GaijinEntertainment'],['GaijinNetworkLtd'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'VRSupported', 'In-AppPurchases', 'RemotePlayonPhone', 'RemotePlayonTablet']","Aug15,2013",81
19,Destiny2,67,10407,815.0,1302.8208955223881,7,1085660,1165,13492,1085660,0,"['Action', 'Adventure', 'FreetoPlay']",['Bungie'],['Bungie'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'PartialControllerSupport']","1Oct,2019",83
20,RivalsofAether,65,4437,508.0,707.0,1,383980,288,190454,383980,29,['Indie'],['AetherStudios'],['AetherStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Mar28,2017",No score
21,Fallout:NewVegas,64,12204,421.0,922.921875,1,22380,1169,6588,22380,9,"['Action', 'RPG']",['ObsidianEntertainment'],['BethesdaSoftworks'],"['Single-player', 'SteamAchievements', 'PartialControllerSupport', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","Oct19,2010",84
22,SteamVR,63,19262,371.0,1031.5238095238096,2,250820,19262,70882,250820,0,[],['Valve'],[''],"['TrackedControllerSupport', 'VRSupported', 'VRSupport', 'SteamWorkshop', 'SteamVRCollectibles']",Unknown,No score
