,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date
0,100%OrangeJuice,6,31540.666666666668,8249.5,126727,0,49695.752638094404,1.5756088215666886,46018,1,"['Indie', 'Strategy']",['Orange_Juice'],['FruitbatFactory'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'ValveAnti-Cheatenabled', 'Stats', 'SteamLeaderboards', 'FamilySharing']","May16,2014"
6,11-11MemoriesRetold,2,0.0,0.0,0,0,0.0,,0,29,"['Adventure', 'Casual']","['AardmanAnimations', 'Digixart']",['BANDAINAMCOEntertainmentEurope'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Nov8,2018"
8,12LaboursofHercules,1,0.0,0.0,0,0,,,0,2,"['Casual', 'Strategy']","['JetdogsStudios', 'ZoomOutGames']",['JetdogsStudios'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'FamilySharing']","Mar23,2015"
9,1v1.LOL,2,342.5,342.5,685,0,484.36814511278504,1.414213562373095,0,0,"['Action', 'Adventure', 'Casual', 'MassivelyMultiplayer', 'Simulation', 'FreetoPlay']",['JustPlay.LOL'],['JustPlay.LOL'],"['Multi-player', 'PvP', 'OnlinePvP', 'In-AppPurchases', 'PartialControllerSupport']","Jun18,2023"
11,3DCoatModdingTool,1,14872.0,14872.0,14872,14872,,,14872,29,"['Animation&Modeling', 'Design&Illustration']",['Pilgway'],['Pilgway'],['SteamWorkshop'],"Feb27,2018"
12,3DMark,3,53164.666666666664,5566.0,151481,2447,85158.72292568351,1.6017917211747812,151481,8,['Utilities'],['ULSolutions'],['ULSolutions'],"['SteamAchievements', 'SteamTradingCards', 'SteamLeaderboards']",Unknown
15,3on3FreeStyle,1,1576.0,1576.0,1576,1576,,,1576,0,Unknown,Unknown,Unknown,Unknown,Unknown
16,7DaystoDie,64,24593.203125,18284.0,100346,0,21954.59185739402,0.892709735523482,100346,24,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'EarlyAccess']",['TheFunPimps'],['TheFunPimpsEntertainmentLLC'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'Includesleveleditor', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Dec13,2013"
80,8-BitArmies,1,0.0,0.0,0,0,,,0,14,"['Indie', 'Simulation', 'Strategy']",['Petroglyph'],['Petroglyph'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'SteamLeaderboards', 'Includesleveleditor', 'RemotePlayTogether', 'FamilySharing']","Apr22,2016"
81,8-BitArmies:Arena,1,0.0,0.0,0,0,,,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
82,8-BitBayonetta,1,0.0,0.0,0,0,,,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
83,90MinuteFever,1,8233.0,8233.0,8233,8233,,,8233,0,"['MassivelyMultiplayer', 'Simulation', 'Sports']",['Isokron'],['Isokron'],"['Multi-player', 'MMO']","Sep1,2023"
84,:THELONGING:,1,7206.0,7206.0,7206,7206,,,7206,14,"['Adventure', 'Indie', 'RPG']",['StudioSeufz'],['ApplicationSystemsHeidelberg'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'SteamCloud', 'FamilySharing']","Mar5,2020"
85,A.V.A.AllianceofValiantArms™,1,46040.0,46040.0,46040,46040,,,46040,0,Unknown,Unknown,Unknown,Unknown,Unknown
86,ABCColoringTown,1,0.0,0.0,0,0,,,0,1,['Casual'],['EnsenaSoft'],['EnsenaSoft'],"['Single-player', 'SteamTradingCards', 'FamilySharing']","May29,2016"
87,ABZÛ,1,0.0,0.0,0,0,,,0,19,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",['GiantSquid'],['505Games'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'FamilySharing']","Aug2,2016"
88,ABuildingFullofCats,1,0.0,0.0,0,0,,,0,1,['Casual'],['Devcats'],['Devcats'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Jul7,2022"
89,ACEAcademy,1,74.0,74.0,74,74,,,74,4,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Sports']",['PixelFade'],['PixelFade'],"['Single-player', 'SteamCloud', 'FamilySharing']","Aug22,2016"
90,ACECOMBAT™7:SKIESUNKNOWN,1,6744.0,6744.0,6744,6744,,,6744,59,"['Action', 'Simulation']",['BandaiNamcoStudiosInc.'],['BandaiNamcoEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Jan31,2019"
