,steamid,Action_weighted_playtime (in_minutes),FreetoPlay_weighted_playtime (in_minutes),Adventure_weighted_playtime (in_minutes),Indie_weighted_playtime (in_minutes),Racing_weighted_playtime (in_minutes),Simulation_weighted_playtime (in_minutes),Sports_weighted_playtime (in_minutes),MassivelyMultiplayer_weighted_playtime (in_minutes),RPG_weighted_playtime (in_minutes),Strategy_weighted_playtime (in_minutes),Casual_weighted_playtime (in_minutes),total_price(dollar),Principal Component 1,Principal Component 2,Principal Component 3,Cluster_Labels
0,76561197960315952,298368.7879309582,501128.50491159136,2712.1548661062484,247.86855039705225,1792.928618018863,398.90812099663145,1205.8470019316055,0.0,0.0,0.0,0.0,145,0.26989325414165755,-2.917472558097649,-0.24502933799972967,1
1,76561197960402768,252506.23234066428,293494.3428902531,7209.867578903217,0.0,0.0,0.0,0.0,12135.557190179406,10037.605867045188,14042.394132954816,0.0,23,-0.0958393173303775,-2.2572527181433024,-0.3618204177717472,2
2,76561197960695552,16230.938793099982,0.0,34492.73969868011,7139.90761399034,20187.724861329796,145.9248495849679,13577.39915309811,0.0,22732.196166484468,0.0,9773.168863732222,174,0.11575888122289207,0.8578106452047096,0.6465462879985807,0
3,76561197960790464,112491.95163295722,184771.83581251756,6226.212554525233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,-0.634347633970113,-0.8295473445795061,-0.2693039890854725,2
4,76561197960975680,95139.33914738082,40178.72228600861,21235.242865732384,20744.307983941853,0.0,0.0,0.0,35742.89006340485,30329.497653531496,0.0,0.0,48,0.11291210139275615,-0.23747950936181655,-0.393722963809787,2
5,76561197961223504,115609.622288476,17406.962250912155,6239.415460611837,824.342119135477,0.0,1326.6578808645227,0.0,0.0,0.0,0.0,0.0,18,-0.9073415330026784,-0.29775608472925524,-0.24670718586055174,0
6,76561197962076368,229326.6716411788,236631.62647557608,26711.447505732882,13341.277913538266,34244.907166741716,0.0,23031.657938546665,44960.367897298915,10894.043461386666,0.0,0.0,9,0.45119996920265426,-2.242706319333069,1.1640299292232181,2
7,76561197965957024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,-1.118686990833049,0.6184362678463539,-0.21201742188239125,0
8,76561197966633904,58071.04457798049,110147.39167658053,50638.088748311544,13028.089601164651,0.0,0.0,0.0,85233.38539596279,0.0,95761.0,0.0,58,0.9383484375178673,-0.35870206208619215,-0.4773007181270791,2
9,76561197967835360,95998.56499989626,166585.94745287352,55990.596523377644,40706.53197708266,27472.40332664627,0.0,18476.76190471948,93201.11645949268,47599.665192347726,1236.4121635637582,0.0,87,1.7072719931030425,-0.9651080739846665,0.6832387267578517,2
